DATA_TYPE MOVIE
VERSION Tekscan Pressure Measurement System 7.60-33I
HARDWARE 102-J363
MAP_VERSION 6.4
HW_TYPE 3
VersaPogoFsx 0
FILENAME C:\Users\John DesJardins\Documents\Comfort Study\In Person Trails\Prasamsa\P_DS6.fsx
SENSOR_TYPE 5051
ROWS 44
COLS 44
ROW_SPACING 0.00127 meters
COL_SPACING 0.00127 meters
SENSEL_AREA 1.6129e-006 m2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.016667
MICRO_SECOND 1
TIME 2/3/2026 5:28:13.911PM
SCALE_FACTOR  7.03651 KPa / raw
EXPONENT 0.894175
SATURATION_PRESSURE 998.219 KPa (Exponential Extrapolation)
CALIBRATION_POINT_1 20.32 (Newtons) 379 (Raw Sum) 74 (Number of Loaded Cells)
CALIBRATION_MODE_1 Point
CALIBRATION_POINT_2 43.24 (Newtons) 2246 (Raw Sum) 409 (Number of Loaded Cells)
CALIBRATION_MODE_2 Point
CALIBRATION_POINT_3 65.9498 (Newtons) 5549 (Raw Sum) 945 (Number of Loaded Cells)
CALIBRATION_MODE_3 Point
CALIBRATION_POINT_4 87.5601 (Newtons) 9209 (Raw Sum) 1412 (Number of Loaded Cells)
CALIBRATION_MODE_4 Point
CALIBRATION_POINT_5 108.11 (Newtons) 12508 (Raw Sum) 1708 (Number of Loaded Cells)
CALIBRATION_MODE_5 Point
CALIBRATION_POINT_6 128 (Newtons) 15029 (Raw Sum) 1815 (Number of Loaded Cells)
CALIBRATION_MODE_6 Point
CALIBRATION_POINT_7 152.24 (Newtons) 17994 (Raw Sum) 1877 (Number of Loaded Cells)
CALIBRATION_MODE_7 Point
CALIBRATION_POINT_8 172.33 (Newtons) 20112 (Raw Sum) 1900 (Number of Loaded Cells)
CALIBRATION_MODE_8 Point
CALIBRATION_POINT_9 195.68 (Newtons) 22397 (Raw Sum) 1913 (Number of Loaded Cells)
CALIBRATION_MODE_9 Point
CALIBRATION_POINT_A 217.3 (Newtons) 24276 (Raw Sum) 1920 (Number of Loaded Cells)
CALIBRATION_MODE_A Point
CALIBRATION_INFO C:\Users\John DesJardins\Documents\Comfort Study\In Person Trails\Prasamsa\P_DS6.fsx
SENSITIVITY S-20
MAP_INDEX 0
SUBMAP 0
START_FRAME 115
END_FRAME 115
UNITS KPa
MIRROR_ROW 0
MIRROR_COL 0
ASCII_DATA @@

Frame 115, 1.899,, 2/3/2026 5:28:15.81PM,,,Raw Sum=,,31824
0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,60,70,35,89,134,253,138,134,138,165,190,173,169,156,178,152,173,165,152,253,224,224,173,89,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,70,60,102,112,102,147,165,224,220,186,138,270,203,237,156,195,182,165,195,182,233,207,237,245,93,30,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,45,55,50,60,65,182,138,112,165,195,228,186,178,220,253,220,173,143,186,178,186,249,147,233,165,207,207,245,107,40,0,0
0,0,0,0,0,0,0,0,0,0,0,0,40,45,75,65,121,143,134,169,169,147,212,165,173,160,186,178,233,152,203,207,190,199,257,233,182,212,203,203,165,121,35,0
0,0,0,0,0,0,0,0,0,0,0,0,35,45,60,93,107,138,130,134,160,178,190,165,207,160,165,169,152,152,156,173,212,190,220,186,147,207,178,143,186,134,84,0
0,0,0,0,0,0,0,0,0,0,30,35,35,50,70,116,112,152,116,143,165,165,156,152,156,173,182,165,190,143,199,169,216,199,156,182,190,203,224,130,199,186,173,0
0,0,0,0,0,0,0,0,0,0,30,40,55,60,79,65,112,156,152,138,169,147,143,147,165,178,152,134,152,143,173,156,165,233,182,169,156,207,220,169,186,156,199,79
0,0,0,0,0,0,0,0,0,0,35,35,50,50,125,116,93,134,121,249,121,121,165,220,121,156,147,199,173,216,186,249,178,257,207,173,212,156,228,203,178,116,160,116
0,0,0,0,0,0,0,0,0,0,24,50,55,89,70,125,116,121,138,107,190,186,134,186,156,125,152,165,169,178,212,160,186,207,178,207,138,169,160,216,199,152,165,121
0,0,0,0,0,0,0,0,0,0,30,45,50,70,102,116,70,98,112,134,130,160,160,160,143,147,125,147,165,165,138,228,130,182,203,207,143,173,112,220,186,156,186,112
0,0,0,0,0,0,0,0,0,24,24,40,50,89,112,79,79,147,98,112,125,160,147,138,173,173,143,156,138,220,156,152,130,212,156,190,178,228,182,270,152,173,121,138
0,0,0,0,0,0,0,0,0,0,30,30,45,75,107,107,89,84,107,98,134,107,173,156,107,178,134,156,173,147,165,112,173,169,165,173,147,203,152,207,190,165,220,125
0,0,0,0,0,0,0,0,0,0,24,30,45,70,60,75,84,75,98,93,89,147,130,152,138,182,134,173,138,156,143,152,169,190,138,203,152,220,143,182,186,237,130,112
